item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status
HI054_high,HI054,3,3,inestimável,que não é estimável,high_in,neg,inestimável,-,estimável,estimar,verb,2395,76.32816586,3.379305518,4.882684827,7,high,correct
HI055_low,HI055,4,3,inadquirível,que pode ser inadquirido,high_in,neg,inadquirível,-,adquirível,adquirir,verb,2472,78.78214029,3.393048466,4.896427775,8,low,incorrect
HI055_high,HI055,4,4,inadquirível,que não é adquirível,high_in,neg,inadquirível,-,adquirível,adquirir,verb,2472,78.78214029,3.393048466,4.896427775,8,high,correct
HI056_low,HI056,1,4,injustificável,que pode ser injustificado,high_in,neg,injustificável,-,justificável,justificar,verb,2543,81.04489594,3.40534636,4.908725669,10,low,incorrect
HI056_high,HI056,1,1,injustificável,que não é justificável,high_in,neg,injustificável,-,justificável,justificar,verb,2543,81.04489594,3.40534636,4.908725669,10,high,correct
HI057_low,HI057,1,4,inalterável,que pode ser inalterado,high_in,neg,inalterável,-,alterável,alterar,verb,2627,83.72195896,3.419460073,4.922839382,7,low,incorrect
HI057_high,HI057,1,1,inalterável,que não é alterável,high_in,neg,inalterável,-,alterável,alterar,verb,2627,83.72195896,3.419460073,4.922839382,7,high,correct
HI058_low,HI058,4,3,inesquecível,que pode ser inesquecido,high_in,neg,inesquecível,-,esquecível,esquecer,verb,2848,90.76518429,3.454539985,4.957919294,8,low,incorrect
HI058_high,HI058,4,4,inesquecível,que não é esquecível,high_in,neg,inesquecível,-,esquecível,esquecer,verb,2848,90.76518429,3.454539985,4.957919294,8,high,correct
HI059_low,HI059,2,1,indivisível,que pode ser individido,high_in,neg,indivisível,-,divisível,dividir,verb,4052,129.1364209,3.607669437,5.111048745,7,low,incorrect
HI059_high,HI059,2,2,indivisível,que não é divisível,high_in,neg,indivisível,-,divisível,dividir,verb,4052,129.1364209,3.607669437,5.111048745,7,high,correct
HI060_low,HI060,3,2,ilegível,que pode ser ilido,high_in,neg,ilegível,-,legível,ler,verb,5906,188.2230261,3.771293443,5.274672751,3,low,incorrect
HI060_high,HI060,3,3,ilegível,que não é legível,high_in,neg,ilegível,-,legível,ler,verb,5906,188.2230261,3.771293443,5.274672751,3,high,correct
LR001_low,LR001,2,2,recurvável,que pode ser recurvado,low_re,res,recurvável,recurvar,curvável,recurvar,verb,3,0.095609394,0.477121255,1.980500564,8,low,correct
LR001_high,LR001,2,1,recurvável,que é curvável novamente,low_re,res,recurvável,recurvar,curvável,recurvar,verb,3,0.095609394,0.477121255,1.980500564,8,high,incorrect
LR002_low,LR002,4,4,requalificável,que pode ser requalificado,low_re,res,requalificável,requalificar,qualificável,requalificar,verb,3,0.095609394,0.477121255,1.980500564,12,low,correct
LR002_high,LR002,4,3,requalificável,que é qualificável novamente,low_re,res,requalificável,requalificar,qualificável,requalificar,verb,3,0.095609394,0.477121255,1.980500564,12,high,incorrect
LR003_low,LR003,3,3,remineralizável,que pode ser remineralizado,low_re,res,remineralizável,remineralizar,mineralizável,mineralizar,verb,4,0.12747919,0.60205999,2.1054393,11,low,correct
LR003_high,LR003,3,2,remineralizável,que é mineralizável novamente,low_re,res,remineralizável,remineralizar,mineralizável,mineralizar,verb,4,0.12747919,0.60205999,2.1054393,11,high,incorrect
