item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status,paraphrase
HD011_low,HD011,3,2,destriturável,que pode deixar de estar triturado,high_des,neg,destriturável,,triturável,triturar,ver,54,1.720969084,1.73239376,3.235773069,8,low,incorrect,que pode deixar de estar triturado
HD013_low,HD013,3,2,descarimbável,que pode deixar de estar carimbado,high_des,neg,descarimbável,,carimbável,carimbar,ver,93,2.9638912,1.968482949,3.471862257,8,low,incorrect,que pode deixar de estar carimbado
HD016_high,HD016,2,2,descapotável,que não pode ser capotado,high_des,neg,descapotável,-,capotável,capotar,ver,111,3.537547562,2.045322979,3.548702288,7,high,correct,que não pode ser capotado
HD018_low,HD018,3,2,desregável,que pode deixar de estar regado,high_des,neg,desregável,,regável,regar,ver,157,5.003558263,2.195899652,3.699278961,5,low,incorrect,que pode deixar de estar regado
HD020_high,HD020,2,2,descozinhável,que não pode ser cozido,high_des,neg,descozinhável,,cozinhável,cozinhar,ver,201,6.405829368,2.303196057,3.806575366,8,high,correct,que não pode ser cozido
HD023_low,HD023,3,2,desfalsificável,que pode deixar de estar falsificado,high_des,neg,desfalsificável,-,falsificável,falsificar,ver,221,7.043225326,2.344392274,3.847771582,10,low,incorrect,que pode deixar de estar falsificado
HD024_high,HD024,2,2,desnavegável,que não pode ser navegado,high_des,neg,desnavegável,-,navegável,navegar,ver,222,7.075095123,2.346352974,3.849732283,7,high,correct,que não pode ser navegado
HD027_high,HD027,2,2,desrespirável,que não pode ser respirado,high_des,neg,desrespirável,-,respirável,respirar,ver,361,11.50499702,2.557507202,4.060886511,8,high,correct,que não pode ser respirado
HD028_low,HD028,3,2,desreparável,que pode deixar de estar reparado,high_des,neg,desreparável,-,reparável,reparar,ver,371,11.823695,2.56937391,4.072753218,7,low,incorrect,que pode deixar de estar reparado
HD029_low,HD029,3,2,desacomodável,que pode deixar de estar acomodado,high_des,neg,desacomodável,-,acomodável,acomodar,ver,389,12.39735136,2.589949601,4.09332891,8,low,incorrect,que pode deixar de estar acomodado
HD030_high,HD030,2,2,despilotável,que não pode ser pilotado,high_des,neg,despilotável,,pilotável,pilotar,ver,491,15.64807075,2.691081492,4.194460801,7,high,correct,que não pode ser pilotado
HD035_high,HD035,2,2,desdistinguível,que não pode ser distinguido,high_des,neg,desdistinguível,-,distinguível,distinguir,ver,820,26.13323424,2.913813852,4.417193161,10,high,correct,que não pode ser distinguido
HD036_low,HD036,3,2,desagradável,que pode deixar de ser agradável,high_des,neg,desagradável,-,agradável,agradar,ver,838,26.7068906,2.923244019,4.426623327,7,low,incorrect,que pode deixar de ser agradável
HD038_high,HD038,2,2,desexportável,que não pode ser exportado,high_des,neg,desexportável,-,exportável,exportar,ver,972,30.97744351,2.987666265,4.491045574,8,high,correct,que não pode ser exportado
HD040_low,HD040,3,2,descompensável,que pode deixar de estar compensado,high_des,neg,descompensável,-,compensável,compensar,ver,1075,34.26003269,3.031408464,4.534787773,9,low,incorrect,que pode deixar de estar compensado
HD041_low,HD041,3,2,despesquisável,que pode deixar de estar pesquisado,high_des,neg,despesquisável,-,pesquisável,pesquisar,ver,1197,38.14814803,3.07809415,4.581473459,9,low,incorrect,que pode deixar de estar pesquisado
HD043_high,HD043,2,2,deseditável,que não pode ser editado,high_des,neg,deseditável,-,editável,editar,ver,1295,41.27138822,3.112269768,4.615649077,6,high,correct,que não pode ser editado
HD045_low,HD045,3,2,desadministrável,que pode deixar de estar administrado,high_des,neg,desadministrável,-,administrável,administrar,ver,1421,45.28698275,3.152594078,4.655973387,11,low,incorrect,que pode deixar de estar administrado
HD047_high,HD047,2,2,desplanejável,que não pode ser planejado,high_des,neg,desplanejável,-,planejável,planejar,ver,1676,53.4137812,3.224274014,4.727653323,8,high,correct,que não pode ser planejado
HD051_low,HD051,3,2,desmedível,que pode deixar de estar medido,high_des,neg,desmedível,-,medível,medir,ver,1940,61.82740783,3.28780173,4.791181039,5,low,incorrect,que pode deixar de estar medido
HD052_high,HD052,2,2,descomparável,que não pode ser comparado,high_des,neg,descomparável,-,comparável,comparar,ver,2684,85.53853744,3.428782511,4.93216182,8,high,correct,que não pode ser comparado
HD055_high,HD055,2,2,descabível,que não é cabível,high_des,neg,descabível,-,cabível,caber,ver,3132,99.81620688,3.495821753,4.999201062,5,high,correct,que não é cabível
HD056_low,HD056,3,2,desanalisável,que pode deixar de estar analisado,high_des,neg,desanalisável,-,analisável,analisar,ver,3273,104.3098484,3.514946005,5.018325314,8,low,incorrect,que pode deixar de estar analisado
HD058_low,HD058,3,2,desavaliável,que pode deixar de estar avaliado,high_des,neg,desavaliável,-,avaliável,avaliar,ver,3686,117.4720749,3.566555331,5.06993464,7,low,incorrect,que pode deixar de estar avaliado
HD060_high,HD060,2,2,desacompanhável,que não pode ser acompanhado,high_des,neg,desacompanhável,-,acompanhável,acompanhar,ver,6780,216.0772294,3.831229694,5.334609003,10,high,correct,que não pode ser acompanhado
