item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status,paraphrase
HI050_high,HI050,1,1,inseparável,que não pode ser separado,high_in,neg,inseparável,-,separável,separar,verb,2011,64.09016348,3.303412071,4.806791379,7,high,correct,que não pode ser separado
HI051_low,HI051,4,3,inverificável,que pode deixar de estar verificado,high_in,neg,inverificável,-,verificável,verificar,verb,2224,70.87843043,3.347134783,4.850514092,9,low,incorrect,que pode deixar de estar verificado
HI051_high,HI051,4,4,inverificável,que não pode ser verificado,high_in,neg,inverificável,-,verificável,verificar,verb,2224,70.87843043,3.347134783,4.850514092,9,high,correct,que não pode ser verificado
HI052_low,HI052,2,1,indesejável,que pode deixar de estar desejado,high_in,neg,indesejável,-,desejável,desejar,verb,2322,74.00167061,3.365862215,4.869241524,7,low,incorrect,que pode deixar de estar desejado
HI052_high,HI052,2,2,indesejável,que não pode ser desejado,high_in,neg,indesejável,-,desejável,desejar,verb,2322,74.00167061,3.365862215,4.869241524,7,high,correct,que não pode ser desejado
HI053_low,HI053,2,1,inconvertível,que pode deixar de estar convertido,high_in,neg,inconvertível,-,convertível,converter,verb,2381,75.88198869,3.376759395,4.880138704,9,low,incorrect,que pode deixar de estar convertido
HI053_high,HI053,2,2,inconvertível,que não pode ser convertido,high_in,neg,inconvertível,-,convertível,converter,verb,2381,75.88198869,3.376759395,4.880138704,9,high,correct,que não pode ser convertido
HI054_low,HI054,3,2,inestimável,que pode deixar de estar estimado,high_in,neg,inestimável,-,estimável,estimar,verb,2395,76.32816586,3.379305518,4.882684827,7,low,incorrect,que pode deixar de estar estimado
HI054_high,HI054,3,3,inestimável,que não pode ser estimado,high_in,neg,inestimável,-,estimável,estimar,verb,2395,76.32816586,3.379305518,4.882684827,7,high,correct,que não pode ser estimado
HI055_low,HI055,4,3,inadquirível,que pode deixar de estar adquirido,high_in,neg,inadquirível,-,adquirível,adquirir,verb,2472,78.78214029,3.393048466,4.896427775,8,low,incorrect,que pode deixar de estar adquirido
HI055_high,HI055,4,4,inadquirível,que não pode ser adquirido,high_in,neg,inadquirível,-,adquirível,adquirir,verb,2472,78.78214029,3.393048466,4.896427775,8,high,correct,que não pode ser adquirido
HI056_low,HI056,1,4,injustificável,que pode deixar de estar justificado,high_in,neg,injustificável,-,justificável,justificar,verb,2543,81.04489594,3.40534636,4.908725669,10,low,incorrect,que pode deixar de estar justificado
HI056_high,HI056,1,1,injustificável,que não pode ser justificado,high_in,neg,injustificável,-,justificável,justificar,verb,2543,81.04489594,3.40534636,4.908725669,10,high,correct,que não pode ser justificado
HI057_low,HI057,1,4,inalterável,que pode deixar de estar alterado,high_in,neg,inalterável,-,alterável,alterar,verb,2627,83.72195896,3.419460073,4.922839382,7,low,incorrect,que pode deixar de estar alterado
HI057_high,HI057,1,1,inalterável,que não pode ser alterado,high_in,neg,inalterável,-,alterável,alterar,verb,2627,83.72195896,3.419460073,4.922839382,7,high,correct,que não pode ser alterado
HI058_low,HI058,4,3,inesquecível,que pode deixar de estar esquecido,high_in,neg,inesquecível,-,esquecível,esquecer,verb,2848,90.76518429,3.454539985,4.957919294,8,low,incorrect,que pode deixar de estar esquecido
HI058_high,HI058,4,4,inesquecível,que não pode ser esquecido,high_in,neg,inesquecível,-,esquecível,esquecer,verb,2848,90.76518429,3.454539985,4.957919294,8,high,correct,que não pode ser esquecido
HI059_low,HI059,2,1,indivisível,que pode deixar de estar dividido,high_in,neg,indivisível,-,divisível,dividir,verb,4052,129.1364209,3.607669437,5.111048745,7,low,incorrect,que pode deixar de estar dividido
HI059_high,HI059,2,2,indivisível,que não pode ser dividido,high_in,neg,indivisível,-,divisível,dividir,verb,4052,129.1364209,3.607669437,5.111048745,7,high,correct,que não pode ser dividido
HI060_low,HI060,3,2,ilegível,que pode deixar de estar lido,high_in,neg,ilegível,-,legível,ler,verb,5906,188.2230261,3.771293443,5.274672751,3,low,incorrect,que pode deixar de estar lido
HI060_high,HI060,3,3,ilegível,que não pode ser lido,high_in,neg,ilegível,-,legível,ler,verb,5906,188.2230261,3.771293443,5.274672751,3,high,correct,que não pode ser lido
LR001_low,LR001,2,2,recurvável,que pode voltar a ficar curvado,low_re,res,recurvável,recurvar,curvável,recurvar,verb,3,0.095609394,0.477121255,1.980500564,8,low,correct,que pode voltar a ficar curvado
LR001_high,LR001,2,1,recurvável,que voltou a poder ser curvado,low_re,res,recurvável,recurvar,curvável,recurvar,verb,3,0.095609394,0.477121255,1.980500564,8,high,incorrect,que voltou a poder ser curvado
LR002_low,LR002,4,4,requalificável,que pode voltar a ficar qualificado,low_re,res,requalificável,requalificar,qualificável,requalificar,verb,3,0.095609394,0.477121255,1.980500564,12,low,correct,que pode voltar a ficar qualificado
LR002_high,LR002,4,3,requalificável,que voltou a poder ser qualificado,low_re,res,requalificável,requalificar,qualificável,requalificar,verb,3,0.095609394,0.477121255,1.980500564,12,high,incorrect,que voltou a poder ser qualificado
LR003_low,LR003,3,3,remineralizável,que pode voltar a ficar mineralizado,low_re,res,remineralizável,remineralizar,mineralizável,mineralizar,verb,4,0.12747919,0.60205999,2.1054393,11,low,correct,que pode voltar a ficar mineralizado
LR003_high,LR003,3,2,remineralizável,que voltou a poder ser mineralizado,low_re,res,remineralizável,remineralizar,mineralizável,mineralizar,verb,4,0.12747919,0.60205999,2.1054393,11,high,incorrect,que voltou a poder ser mineralizado
LR004_low,LR004,1,1,repintável,que pode voltar a ficar pintado,low_re,res,repintável,repintar,pintável,repintar,verb,4,0.127479191,0.602059991,2.1054393,8,low,correct,que pode voltar a ficar pintado
LR004_high,LR004,1,4,repintável,que voltou a poder ser pintado,low_re,res,repintável,repintar,pintável,repintar,verb,4,0.127479191,0.602059991,2.1054393,8,high,incorrect,que voltou a poder ser pintado
LR005_low,LR005,3,3,rebobinável,que pode voltar a ficar bobinado,low_re,res,rebobinável,rebobinar,bobinável,bobinar,verb,5,0.15934899,0.69897,2.20234931,7,low,correct,que pode voltar a ficar bobinado
