item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status,stimulus_round,trial_role,target_version,experimental_list,filler_rotation,original_version,target_pair_number,target_assignment_method
HD132_high,HD132,,,desrealizável,que não é realizável,high_des,neg,desrealizável,-,realizável,realizar,ver,12732,405.76626626514974,4.104896629948965,5.608275938744965,8,high,correct,new_high_des,target_high_des,A,A1,1,,36,adjacent_zipf_pair
HD133_high,HD133,,,desapresentável,que não é apresentável,high_des,neg,desapresentável,-,apresentável,apresentar,ver,14486,461.66589169941557,4.160948480864697,5.664327789660696,10,high,correct,new_high_des,target_high_des,A,A1,1,,37,adjacent_zipf_pair
HD134_low,HD134,,,desusável,que pode ser desusado,high_des,neg,desusável,-,usável,usar,ver,16270,518.5216110692731,4.211387552936859,5.714766861732858,4,low,incorrect,new_high_des,target_high_des,A,A1,1,,37,adjacent_zipf_pair
HI001_low,HI001,2,1,insaciável,que pode ser insaciado,high_in,neg,insaciável,-,saciável,saciar,verb,47,1.497880499,1.672097858,3.175477167,6,low,incorrect,first_round_retest,old_condition_filler,A,A1,1,1,,
HI017_high,HI017,1,1,inviolável,que não é violável,high_in,neg,inviolável,-,violável,violar,verb,359,11.44125743,2.555094449,4.058473757,6,high,correct,first_round_retest,old_condition_filler,A,A1,1,1,,
HI020_low,HI020,2,1,incapturável,que pode ser incapturado,high_in,neg,incapturável,-,capturável,capturar,verb,390,12.42922116,2.591064607,4.094443916,8,low,incorrect,first_round_retest,old_condition_filler,A,A1,1,1,,
HI029_low,HI029,2,1,indelegável,que pode ser indelegado,high_in,neg,indelegável,-,delegável,delegar,verb,528,16.82725327,2.722633923,4.226013231,7,low,incorrect,first_round_retest,old_condition_filler,A,A1,1,1,,
HI047_high,HI047,1,1,inadiável,que não é adiável,high_in,neg,inadiável,-,adiável,adiar,verb,1569,50.00371283,3.195622944,4.699002252,5,high,correct,first_round_retest,old_condition_filler,A,A1,1,1,,
HI056_high,HI056,1,1,injustificável,que não é justificável,high_in,neg,injustificável,-,justificável,justificar,verb,2543,81.04489594,3.40534636,4.908725669,10,high,correct,first_round_retest,old_condition_filler,A,A1,1,1,,
HI059_low,HI059,2,1,indivisível,que pode ser individido,high_in,neg,indivisível,-,divisível,dividir,verb,4052,129.1364209,3.607669437,5.111048745,7,low,incorrect,first_round_retest,old_condition_filler,A,A1,1,1,,
LD005_high,LD005,2,1,desumidificável,que não é umidificável,low_des,rev,desumidificável,desumidificar,-,umidificar,ver,5,0.159348989,0.698970004,2.202349313,10,high,incorrect,first_round_retest,old_condition_filler,A,A1,1,1,,
LD007_low,LD007,1,1,descriminalizável,que pode ser descriminalizado,low_des,rev,descriminalizável,descriminalizar,-,criminalizar,ver,25,0.796744946,1.397940009,2.901319317,12,low,correct,first_round_retest,old_condition_filler,A,A1,1,1,,
LD016_low,LD016,1,1,desentupível,que pode ser desentupido,low_des,rev,desentupível,desentupir,-,entupir,ver,67,2.135276456,1.826074803,3.329454111,7,low,correct,first_round_retest,old_condition_filler,A,A1,1,1,,
LD024_high,LD024,2,1,desgrudável,que não é grudável,low_des,rev,desgrudável,desgrudar,-,grudar,ver,135,4.30242271,2.130333768,3.633713077,6,high,incorrect,first_round_retest,old_condition_filler,A,A1,1,1,,
